depth,width,active_params,pad_params,total_params,padding_ratio,train_mse,val_mse,test_mse,steps_run,agop_offdiag_energy,agop_offdiag_ratio
3,672,993952,6048,1000000,0.006048,0.11613769658346344,0.12365115404129029,0.1226682014465332,7326,68.22256469726662,0.3828151796751807
4,544,962944,37056,1000000,0.037056,0.11875262441070096,0.1268594241142273,0.12538776779174804,7326,68.382080078126,0.382334242326936
5,480,989344,10656,1000000,0.010656,0.12307484688169397,0.1305031805038452,0.13010272455215455,7326,67.73995971679787,0.3872547189463064
6,432,995392,4608,1000000,0.004608,0.12806109147621736,0.13499039459228515,0.1341828351020813,7326,68.64657592773537,0.39126121463453456
7,384,941248,58752,1000000,0.058752,0.13675900335343144,0.14365697956085205,0.1436352105140686,7326,67.17969512939553,0.3964068306008504
8,352,920192,79808,1000000,0.079808,0.13978337736427174,0.14641378784179687,0.14678306531906127,7326,67.06295776367287,0.39898228170865335
9,336,954640,45360,1000000,0.04536,0.1453394284628298,0.15203577423095704,0.150742826461792,7326,65.12472534179787,0.39894401697170695
10,320,971584,28416,1000000,0.028416,0.14681858281554966,0.15342684268951415,0.15269999980926513,7326,65.51073455810646,0.4002273010537845
11,304,972560,27440,1000000,0.02744,0.15204575011374666,0.1583695821762085,0.15764800834655762,7326,65.22474670410256,0.4041336212756669
12,288,959104,40896,1000000,0.040896,0.15672919719446785,0.1631806001663208,0.16262182188034058,7326,64.29147338867287,0.4038878778019995
