train_nll,test_nll,test_ppl,steps_run,depth,d_model,n_heads,d_ff,active_params,pad_params,total_params,padding_ratio,agop_dim,agop_offdiag_energy,agop_offdiag_ratio
4.698210634104984,4.698789023590088,109.81410960419335,4883,2,192,12,768,917376,82624,1000000,0.082624,4096,55213912.25,0.9453021665728679
4.700214674217883,4.700400798034668,109.99124789484499,4883,3,160,10,640,949440,50560,1000000,0.05056,4096,90877036.0,0.953042380811074
4.806521248788142,4.806769067382812,122.33571983483155,4883,4,128,8,512,809216,190784,1000000,0.190784,4096,382267.50390625,0.9637062202213681
4.7426152190240085,4.743400590515137,114.82400795110958,4883,5,112,7,448,773024,226976,1000000,0.226976,4096,29645798.25,0.949033921006778
4.698105104923834,4.698136709594727,109.74249968222684,4883,6,112,7,448,924000,76000,1000000,0.076,4096,27144282.625,0.9474401206905518
4.7202171670858215,4.720396508026123,112.2127370989024,4883,7,96,6,384,792384,207616,1000000,0.207616,4096,49682527.0,0.9472859692576341
4.7018340932009215,4.701808721923828,110.14621626659218,4883,8,96,6,384,903360,96640,1000000,0.09664,4096,15203876.125,0.9490990679851119
4.698653280612925,4.698596067047119,109.79292229741543,4883,9,80,5,320,707040,292960,1000000,0.29296,4096,24663325.25,0.9464236513688791
4.7650320244734035,4.76622322845459,117.47472786544951,4883,10,80,5,320,784160,215840,1000000,0.21584,4096,11717840256.0,0.9691583416346513
4.698470853870396,4.698635441589356,109.79724542858179,4883,12,80,5,320,938400,61600,1000000,0.0616,4096,18871642.25,0.936585630522868
