train_mse,val_mse,test_mse,steps_run,depth,hidden_size,active_params,pad_params,total_params,padding_ratio,agop_dim,agop_offdiag_energy,agop_offdiag_ratio
0.050996848697583724,0.05139526232083638,0.050794368346532184,7326,3,248,943704,56296,1000000,0.056296,64,1.6268059611330496,0.645994796874895
0.05847095844474351,0.058913864692052204,0.05847814695040385,7326,4,216,999496,504,1000000,0.000504,64,1.5636067390451895,0.669860045477037
0.05716009945934886,0.05784171978632609,0.05684428524971008,7326,5,184,932024,67976,1000000,0.067976,64,1.5284552574167716,0.6660371450319149
0.07117757568382328,0.0716635947227478,0.07107392597198486,7326,6,168,948760,51240,1000000,0.05124,64,1.267086684704827,0.6852121760276894
0.10319880445574406,0.1035761505762736,0.10309932152430216,7326,7,152,917688,82312,1000000,0.082312,64,0.6937550604353414,0.7307298547769289
0.11167588735679192,0.11257826296488443,0.11134055010477702,7326,8,144,949744,50256,1000000,0.050256,64,0.6603205800066457,0.7670756318280411
0.1231268688285512,0.12354689502716064,0.12256583992640177,7326,9,136,959816,40184,1000000,0.040184,64,0.39635603129963737,0.7734023757489842
0.1533888260735102,0.15369796403249106,0.15302415148417156,7326,10,128,950208,49792,1000000,0.049792,64,0.10570850595931872,0.8836790299291225
0.16746459711481929,0.16826036675771078,0.16680206807454426,7326,11,120,923224,76776,1000000,0.076776,64,1.000000021762076e-12,0.9999999984319315
0.1636234185994526,0.1641905091603597,0.16287090555826822,7326,12,112,881168,118832,1000000,0.118832,64,0.027266847902046275,0.9360123019189952
